model,feature_space,k,n_init,covariance_type,reg_covar,val_ari,val_purity,val_combined,test_ari,test_purity,test_combined
KMeans,with_driver,10,10,,,0.020653252533510406,0.15842189769860082,0.17907515023211124,0.01982471402806615,0.1588212782242633,0.17864599225232947
KMeans,with_driver,10,20,,,0.020579362143886525,0.1581542931416775,0.17873365528556404,0.019807865397329635,0.1592422502870264,0.17905011568435603
KMeans,with_driver,10,40,,,0.020579362143886525,0.1581542931416775,0.17873365528556404,0.019807865397329635,0.1592422502870264,0.17905011568435603
GMM,with_driver,10,3,full,1e-06,0.20073351382449858,0.3783928434895634,0.579126357314062,0.20147612391097658,0.3757367011098354,0.577212825020812
GMM,with_driver,10,5,full,1e-06,0.24869636263305342,0.4394066824680786,0.6881030451011321,0.25141824283356623,0.44535017221584383,0.69676841504941
GMM,with_driver,10,10,full,1e-06,0.18020573416415786,0.3710910620077988,0.5512967961719566,0.18126198381866657,0.3725985457328741,0.5538605295515406
GMM,with_driver,10,3,full,1e-05,0.23132742780836357,0.4186482146953131,0.6499756425036767,0.2311310158915666,0.42200535782625337,0.65313637371782
GMM,with_driver,10,5,full,1e-05,0.2790144579556195,0.4756479853199786,0.7546624432755982,0.2769292042438355,0.47416762342135477,0.7510968276651903
GMM,with_driver,10,10,full,1e-05,0.2244226245271887,0.40522975762672986,0.6296523821539186,0.22277372863440764,0.404247990815155,0.6270217194495626
GMM,with_driver,10,3,full,0.0001,0.21548823496156666,0.4123021637739888,0.6277903987355555,0.21638956796866998,0.4111748947569843,0.6275644627256542
GMM,with_driver,10,5,full,0.0001,0.2943359411802839,0.4825674745775671,0.7769034157578509,0.29045781839034707,0.47761194029850745,0.7680697586888545
GMM,with_driver,10,10,full,0.0001,0.23734254732945,0.40175089838672684,0.6390934457161769,0.23624325644878702,0.4014925373134328,0.6377357937622199
GMM,with_driver,10,3,full,0.001,0.23861338647858124,0.40129214771771543,0.6399055341962967,0.2388019414827232,0.40470723306544204,0.6435091745481653
GMM,with_driver,10,5,full,0.001,0.20896820896076235,0.3699441853352703,0.5789123942960326,0.20847810794100838,0.3697665518561041,0.5782446597971125
